站代號,站名,郵遞區號,地址,經度,緯度,電話,服務類型,提供服務時段
D2041,八堵加油加氣站,205,基隆市暖暖區八堵路158號,121.72583333333334,25.104166666666668,(02)24560524,電動機車充電,00:00-24:00
D2041,八堵加油加氣站,205,基隆市暖暖區八堵路158號,121.72583333333334,25.104166666666668,(02)24560524,光陽電動機車換電2.0,00:00-24:00
D2045,金山站,208,新北市金山區中山路385號,121.63361111111112,25.22472222222222,(02)24982553,Gogoro電動機車換電,07:00-21:00
D2046,萬里站,207,新北市萬里區龜吼里美崙31-1號,121.68722222222223,25.184444444444445,(02)24922019,電動機車充電,07:00-21:00
D2046,萬里站,207,新北市萬里區龜吼里美崙31-1號,121.68722222222223,25.184444444444445,(02)24922019,Gogoro電動機車換電,07:00-21:00
D2047,六堵站,206,基隆市七堵區明德二路28號,121.70416666666667,25.083888888888886,(02)24512006,光陽電動機車換電2.0,06:30-22:30
D2048,瑞芳站,224,新北市瑞芳區中山路200號,121.80138888888888,25.106944444444444,(02)24972341,光陽電動機車換電2.0,07:00-22:00
D2049,成功一路站,200,基隆市仁愛區成功一路105號,121.7375,25.126944444444444,(02)24316683,光陽電動機車換電2.0,00:00-24:00
D2050,西定路站,203,基隆市中山區西定路190號,121.73305555555555,25.13611111111111,(02)24226918,Gogoro電動機車換電,07:00-21:00
D2052,三芝站,252,新北市三芝區埔頭15號,121.49527777777777,25.259722222222223,(02)26362403,Gogoro電動機車換電,07:00-21:00
D2053,安樂站,204,基隆市安樂區麥金路441號,121.71888888888888,25.12638888888889,(02)24311788,Gogoro電動機車換電,00:00-24:00
D2054,澳底站,228,新北市貢寮區真理里美艷山街6-2號,121.92861111111111,25.060833333333335,(02)24901501,電動機車充電,07:00-21:00
D2054,澳底站,228,新北市貢寮區真理里美艷山街6-2號,121.92861111111111,25.060833333333335,(02)24901501,Gogoro電動機車換電,07:00-21:00
D2056,碇內站,205,基隆市暖暖區源遠路157號,121.74861111111112,25.098333333333333,(02)24577214,光陽電動機車換電2.0,00:00-24:00
D2058,大武崙站,204,基隆市安樂區基金三路2-1號,121.70055555555555,25.148055555555555,(02)24321537,光陽電動機車換電2.0,07:00-22:00
D2059,八德路站,206,基隆市七堵區八德路2-15號,121.72111111111111,25.10138888888889,(02)24562643,Gogoro電動機車換電,07:00-22:00
D2140,中崙站,104,台北市中山區八德路二段214號,121.53972222222222,25.04638888888889,(02)27712548,電動機車充電,00:00-24:00
D2140,中崙站,104,台北市中山區八德路二段214號,121.53972222222222,25.04638888888889,(02)27712548,光陽電動機車換電2.0,00:00-24:00
D2141,三重重新路站,241,新北市三重區重新路五段495號,121.4725,25.046944444444446,(02)29953683,電動機車充電,00:00-24:00
D2142,北投站,112,台北市北投區承德路七段384號,121.50222222222222,25.11916666666667,(02)28201203,Gogoro電動機車換電,00:00-24:00
D2146,汐止站,221,新北市汐止區大同路一段353號,121.63944444444445,25.060000000000002,(02)26412246,Gogoro電動機車換電,00:00-24:00
D214J,寶橋站,231,新北市新店區寶橋路219號,121.54916666666666,24.9775,(02)29111965,光陽電動機車換電2.0,00:00-24:00
D214N,坪林站,232,新北市坪林區北宜路八段61號(21:00~22:00僅提供自助加油),121.705,24.935555555555556,(02)26656081,光陽電動機車換電2.0,07:00-22:00
D214R,內湖站,114,台北市內湖區民權東路六段50號,121.58388888888888,25.06861111111111,(02)27920678,電動機車充電,00:00-24:00
D214R,內湖站,114,台北市內湖區民權東路六段50號,121.58388888888888,25.06861111111111,(02)27920678,光陽電動機車換電2.0,00:00-24:00
D214T,八里站,249,新北市八里區中山路一段1號,121.42305555555556,25.15888888888889,(02)26104191,Gogoro電動機車換電,00:00-24:00
D214X,西湖,114,台北市內湖區內湖路一段59號,121.56,25.084999999999997,(02)27992147,Gogoro電動機車換電,07:00-23:00
D214Z,新莊站,242,新北市新莊區中正路338號,121.44527777777778,25.034722222222225,(02)29965736,電動機車充電,00:00-24:00
D214Z,新莊站,242,新北市新莊區中正路338號,121.44527777777778,25.034722222222225,(02)29965736,光陽電動機車換電2.0,00:00-24:00
D2151,萬隆站,116,台北市文山區興隆路一段13號,121.53944444444444,25.004444444444445,(02)29312829,Gogoro電動機車換電,00:00-24:00
D2156,陽明山站,111,台北市士林區陽明山格致路3號,121.545833333333,25.1355555555556,(02)28616052,光陽電動機車換電2.0,07:00-22:00
D2157,復興北路站,105,台北市松山區復興北路31號,121.54444444444444,25.049722222222226,(02)27112342,Gogoro電動機車換電,07:00-23:00
D2158,泰山站,243,新北市泰山區泰林路二段424號,121.42666666666668,25.064444444444444,(02)29097921,Gogoro電動機車換電,07:00-22:00
D2159,新生南路站,106,台北市大安區仁愛路三段1號,121.53333333333333,25.038611111111113,(02)27112316,光陽電動機車換電2.0,07:00-22:00
D215J,南港站,115,台北市南港區南港路二段50號,121.60444444444444,25.054166666666667,(02)27822408,光陽電動機車換電2.0,00:00-24:00
D215K,蘆洲站,247,新北市蘆洲區三民路99號,121.47333333333333,25.085277777777776,(02)22812333,Gogoro電動機車換電,00:00-24:00
D215M,三峽站,237,新北市三峽區介壽路一段193號,121.37777777777777,24.930833333333336,(02)26711123,光陽電動機車換電2.0,00:00-24:00
D215N,鶯歌站,239,新北市鶯歌區文化路152號,121.35222222222221,24.950555555555553,(02)26792944,Gogoro電動機車換電,00:00-24:00
D215R,新店北新路站,231,新北市新店區北新路一段90號,121.54194444444444,24.96861111111111,(02)29180305,電動機車充電,00:00-24:00
D215R,新店北新路站,231,新北市新店區北新路一段90號,121.54194444444444,24.96861111111111,(02)29180305,Gogoro電動機車換電,00:00-24:00
D215V,泰新站,243,新北市泰山區新北大道五段1號,121.4388888888889,25.05138888888889,(02)29094220,電動機車充電,00:00-24:00
D215V,泰新站,243,新北市泰山區新北大道五段1號,121.4388888888889,25.05138888888889,(02)29094220,光陽電動機車換電2.0,00:00-24:00
D215W,東湖站,114,台北市內湖區康寧路三段225號,121.61194444444443,25.0675,(02)26311524,Gogoro電動機車換電,07:00-22:00
D215Z,三多站,238,新北市樹林區中正路433號,121.41527777777779,25.00861111111111,(02)26886405,Gogoro電動機車換電,07:00-22:00
D2160,樹林站,238,新北市樹林區樹新路207號,121.43,24.999444444444446,(02)26812405,光陽電動機車換電2.0,00:00-24:00
